,region,occurrence
1,US,53017
3,FR,9846
4,DE,7753
5,GB,10959
6,ES,4137
7,DK,2581
8,IT,8097
9,PT,930
10,SE,2420
11,AU,3236
12,HU,1015
13,NO,899
14,BR,1952
15,NL,1449
16,MX,2093
17,PL,1264
18,AR,1651
19,AT,1449
20,FI,2108
21,JP,13649
22,SUHH,248
23,CA,5595
24,GR,1819
25,CSHH,1045
26,IN,3671
27,SI,206
28,CN,1749
29,RO,695
30,TR,1556
31,HR,300
32,BE,1011
33,XWG,2038
34,XYU,421
35,CH,732
36,IE,318
37,UY,168
38,EG,951
39,CL,262
40,IL,1097
41,NZ,209
42,XWW,1044
43,DDDE,409
44,CZ,707
45,RS,458
46,SG,125
47,ZA,303
48,PH,1064
49,CU,121
50,HK,1291
51,CO,162
52,TW,1253
53,VE,155
54,LK,79
55,VDVN,9
56,IR,1049
57,BUMM,9
58,LI,4
59,GA,6
60,ID,269
61,BO,27
62,PE,106
63,SN,26
64,ML,10
65,KR,3020
66,CM,13
67,AO,5
68,CI,7
69,NG,52
70,TH,406
71,MY,89
72,CG,4
73,SY,61
74,NE,4
75,TN,33
76,BF,15
77,IS,133
78,MZ,8
79,RU,256
80,MA,60
81,EC,45
82,DZ,44
83,LT,102
84,UA,305
85,VN,147
86,YUCS,40
87,AZ,52
88,MK,44
89,DO,210
90,KZ,110
91,EE,228
92,PR,50
93,GE,128
94,SK,116
95,XPI,4
96,LU,39
97,KP,80
98,PK,180
99,BA,83
100,BY,75
101,AL,138
102,AF,25
103,XEU,15
104,NI,6
105,KH,15
106,KG,24
107,TT,8
108,GN,6
109,TG,4
110,CY,62
111,AM,68
112,IQ,34
113,LB,97
114,UZ,34
115,LV,100
116,BG,78
117,SV,8
118,CR,25
119,NP,37
120,XKO,23
121,TM,2
122,PA,17
123,PS,32
124,MN,13
125,AW,3
126,GH,8
127,BD,134
128,XSI,6
129,JM,8
130,MD,12
131,HT,4
132,CSXX,26
133,PY,13
134,MU,4
135,AE,48
136,,2
137,GT,13
138,GI,5
139,LA,13
140,KE,9
141,QA,4
142,XKV,19
143,BS,4
144,MC,5
145,SA,22
146,PG,2
147,MO,6
148,GL,3
149,BH,6
150,CD,3
151,TJ,6
152,VI,2
153,JO,14
154,HN,3
155,UG,5
156,BI,2
157,KW,6
158,TD,4
159,RW,2
160,BZ,3
161,ET,4
162,GW,2
163,ME,6
164,LY,3
165,FO,4
166,SD,7
167,PF,2
168,MM,4
169,,2
170,AD,4
171,BT,6
172,,2
173,SO,2
174,MT,9
175,GU,2
176,YE,2
177,GP,2
178,TZ,2
179,MG,2